,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross
81178,tt4666530,The Immigrant,The Immigrant,2015,47.0,Documentary,,,The Immigrant,Wein.,2000000.0,3800000,2014.0,72.0,"May 16, 2014",The Immigrant,"$16,000,000","$2,013,456","$7,585,011"
81187,tt4667094,Fifty Shades of Black,Fifty Shades of Black,2016,92.0,Comedy,3.5,17189.0,Fifty Shades of Black,ORF,11700000.0,10500000,2016.0,15.0,"Jan 29, 2016",Fifty Shades of Black,"$5,000,000","$11,686,940","$22,113,075"
81240,tt4669788,On the Basis of Sex,On the Basis of Sex,2018,120.0,"Biography,Drama",6.9,12083.0,On the Basis of Sex,Focus,24600000.0,13600000,2018.0,81.0,"Dec 25, 2018",On the Basis of Sex,"$20,000,000","$24,622,687","$38,073,377"
81245,tt4669986,Loving,Loving,2016,123.0,"Biography,Drama,Romance",7.0,28079.0,Loving,Focus,7800000.0,5200000,2016.0,92.0,"Nov 4, 2016",Loving,"$9,000,000","$7,710,234","$12,898,064"
81455,tt4682786,Collateral Beauty,Collateral Beauty,2016,97.0,"Drama,Romance",6.8,78764.0,Collateral Beauty,WB (NL),31000000.0,57500000,2016.0,13.0,"Dec 16, 2016",Collateral Beauty,"$36,000,000","$31,016,021","$85,309,093"
81515,tt4685968,Lion,Lion,2015,143.0,"Action,Drama,Romance",3.6,282.0,Lion,Wein.,51700000.0,88600000,2016.0,60.0,"Nov 25, 2016",Lion,"$12,000,000","$51,739,495","$149,570,720"
81712,tt4697228,The Sitter,Charlotte Wakes,2017,97.0,Horror,4.0,250.0,The Sitter,Fox,30400000.0,4500000,2011.0,32.0,"Dec 9, 2011",The Sitter,"$25,000,000","$30,542,576","$38,749,404"
81748,tt4698684,Hunt for the Wilderpeople,Hunt for the Wilderpeople,2016,101.0,"Adventure,Comedy,Drama",7.9,87532.0,Hunt for the Wilderpeople,Orch.,5200000.0,,2016.0,25.0,"Jun 24, 2016",Hunt for the Wilderpeople,"$2,500,000","$5,205,471","$23,845,533"
81805,tt4701182,Bumblebee,Bumblebee,2018,114.0,"Action,Adventure,Sci-Fi",6.9,94155.0,Bumblebee,Par.,127200000.0,340800000,2018.0,62.0,"Dec 21, 2018",Bumblebee,"$102,000,000","$127,195,589","$465,195,589"
81823,tt4701724,Early Man,Early Man,2018,89.0,"Adventure,Animation,Comedy",6.1,15882.0,Early Man,LGF,8300000.0,46400000,2018.0,98.0,"Feb 16, 2018",Early Man,"$50,000,000","$8,267,544","$45,285,890"
81995,tt4713454,Trash,Trash,2015,88.0,Drama,,,Trash,FCW,17500.0,4800000,2015.0,46.0,"Oct 9, 2015",Trash,"$12,000,000","$17,484","$6,553,186"
82232,tt4727712,Book Club,Book Club,2015,72.0,Documentary,6.6,9.0,Book Club,Par.,68600000.0,,2018.0,43.0,"May 18, 2018",Book Club,"$10,000,000","$68,566,296","$91,113,683"
82410,tt4741754,The Call,The Call,2014,109.0,Thriller,6.6,5.0,The Call,TriS,51900000.0,16700000,2013.0,14.0,"Mar 15, 2013",The Call,"$12,800,000","$51,872,378","$69,821,476"
82447,tt4745746,The Drop,The Drop,2015,50.0,Documentary,,,The Drop,FoxS,10700000.0,7900000,2014.0,16.0,"Sep 12, 2014",The Drop,"$12,600,000","$10,724,389","$19,054,534"
82532,tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,2018,92.0,"Crime,Horror,Mystery",5.9,13822.0,Unfriended: Dark Web,BH Tilt,8900000.0,6300000,2018.0,29.0,"Jul 20, 2018",Unfriended: Dark Web,"$1,000,000","$8,866,745","$16,434,588"
82574,tt4765284,Pitch Perfect 3,Pitch Perfect 3,2017,93.0,"Comedy,Music",5.8,45127.0,Pitch Perfect 3,Uni.,104900000.0,80500000,2017.0,58.0,"Dec 22, 2017",Pitch Perfect 3,"$45,000,000","$104,897,530","$185,736,412"
82812,tt4777394,The Master,The Master,2014,,Documentary,,,The Master,Wein.,16399999.0,11900000,2012.0,87.0,"Sep 14, 2012",The Master,"$37,500,000","$16,247,159","$50,647,416"
82828,tt4778274,The Wall,The Wall,2015,75.0,Documentary,,,The Wall,RAtt.,1800000.0,2700000,2017.0,29.0,"May 12, 2017",The Wall,"$3,000,000","$1,803,064","$4,495,262"
82862,tt4779682,The Meg,The Meg,2018,113.0,"Action,Horror,Sci-Fi",5.7,114042.0,The Meg,WB,145400000.0,384800000,2018.0,94.0,"Aug 10, 2018",The Meg,"$178,000,000","$145,443,742","$529,530,715"
82939,tt4786282,Lights Out,Lights Out,2016,81.0,"Drama,Horror,Mystery",6.3,100650.0,Lights Out,WB (NL),67300000.0,81600000,2016.0,55.0,"Jul 22, 2016",Lights Out,"$5,000,000","$67,268,835","$148,806,510"
83057,tt4793074,Sisters,Sisters,2015,53.0,"Biography,Documentary,Music",,,Sisters,Uni.,87000000.0,18000000,2015.0,57.0,"Dec 18, 2015",Sisters,"$30,000,000","$87,044,645","$106,030,660"
83153,tt4799050,Rough Night,Rough Night,2017,101.0,"Comedy,Crime,Thriller",5.2,39447.0,Rough Night,Sony,22100000.0,25200000,2017.0,87.0,"Jun 16, 2017",Rough Night,"$20,000,000","$22,105,643","$46,844,357"
83234,tt4805936,The Wall,Qiang,2015,83.0,Documentary,,,The Wall,RAtt.,1800000.0,2700000,2017.0,29.0,"May 12, 2017",The Wall,"$3,000,000","$1,803,064","$4,495,262"
83624,tt4832640,Sultan,Sultan,2016,170.0,"Action,Drama,Sport",7.1,33371.0,Sultan,Yash,6200000.0,81100000,2016.0,100.0,"Jul 6, 2016",Sultan,"$11,000,000","$5,599,781","$72,989,781"
